略称,呼称,id,年,所属,ライセンス,事業期間（月数）,順位,勝ち点,一試合あたり平均勝ち点,昇降格,営業収入,スポンサー収入,入場料収入,物販収入,Jリーグ配分金,移籍補償金等収入,アカデミー関連収入,女子チーム関連収入,その他収入,営業費用,チーム人件費,トップチーム運営経費,試合関連経費,物販関連費,移籍関連費用,アカデミー運営経費,女子チーム運営経費,その他売上原価,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,資産の部,流動負債,固定負債,負債の部,資本金,資本剰余金等,利益剰余金,純資産の部,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,プレーオフ入場者数,プレーオフホーム試合数,ACL入場者数,ACLホーム試合数,年間総入場者数,年間ホーム試合数
鹿島,鹿島アントラーズ,antlers,2025,J1,J1,12,1,76,2.0000,Null,8173,3324,1458,1066,939,,,,,8301,,,,,,,,,2320,-127,48,69,-148,,,-148,3,-151,,,,,,,,,,,520615,19,0,0,0,0,0,0,520615,19
浦和,浦和レッズ,urawa,2025,J1,J1,12,7,59,1.5526,Null,11310,4195,2214,1682,539,,,,,11532,,,,,,,,,,-222,,,-79,,,,,-100,,,3836,,,2015,273,113,1436,1821,709655,19,19767,1,0,0,0,0,729422,20
FC東京,FC東京,fctokyo,2025,J1,J1,12,11,50,1.3158,Null,7210,3223,1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600204,19,0,0,0,0,0,0,600204,19
東京V,東京ヴェルディ,verdy,2025,J1,J1,12,17,43,1.1316,Null,4510,1331,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401300,19,8377,1,0,0,0,0,409677,20
町田,FC町田ゼルビア,zelvia,2025,J1,J1,12,6,60,1.5789,Null,6914,4581,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266350,19,0,0,0,0,13544,3,279894,22
川崎,川崎フロンターレ,kawasaki,2025,J1,J1,12,8,57,1.5000,Null,10069,3765,1469,,,,,,,,,,,,,,,,,,,,,,,,,,1720,4048,5768,3223,111,3334,349,30,2053,5768,418949,19,42719,2,0,0,13277,1,474945,22
横浜FM,横浜F・マリノス,fmarinos,2025,J1,J1,12,15,43,1.1316,Null,7751,2871,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504979,19,9656,1,0,0,9482,1,524117,21
横浜FC,横浜FC,yokohamafc,2025,J1,J1,12,18,35,0.9211,降格,3303,1584,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193773,19,19703,4,0,0,0,0,213476,23
新潟,アルビレックス新潟,albirex,2025,J1,J1,12,20,24,0.6316,降格,4514,1426,1247,,332,585,,,,4060,1078,355,,,408,,,,461,453,58,12,499,0,5,494,218,276,,,,,,,,,,,429418,19,8416,1,0,0,0,0,437834,20
清水,清水エスパルス,shimizu,2025,J1,J1,12,14,44,1.1579,Null,5353,2672,1128,,,,,,,5317,,,,,,,,,,35,,,38,,,,,34,453,934,1387,1009,154,1164,,,,222,357263,19,0,0,0,0,0,0,357263,19
名古屋,名古屋グランパス,nagoya,2025,J1,J1,12,16,43,1.1316,Null,6463,2988,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613003,19,0,0,0,0,0,0,613003,19
京都,京都サンガF.C.,sanga,2025,J1,J1,12,3,68,1.7895,Null,4435,2371,891,,,,,,,,,,,,,,,,,,,,309,,,,,205,,,1828,,,840,,,,988,314220,19,6233,1,0,0,0,0,320453,20
G大阪,ガンバ大阪,gamba,2025,J1,J1,12,9,57,1.5000,Null,8817,2292,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570135,19,0,0,0,0,25440,3,595575,22
C大阪,セレッソ大阪,cerezo,2025,J1,J1,12,10,52,1.3684,Null,5720,2758,1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354430,19,7110,1,0,0,0,0,361540,20
神戸,ヴィッセル神戸,vissel,2025,J1,J1,12,5,64,1.6842,Null,8711,3025,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400880,19,6171,1,0,0,34384,5,441435,25
岡山,ファジアーノ岡山,fagiano,2025,J1,J1,5,13,45,1.1842,Null,1908,881,350,285,116,,,,,1750,,,,,,,,,,158,,,157,,,,,97,,,,,,,,,,,158075,11,0,0,0,0,0,0,158075,11
広島,サンフレッチェ広島,sanfrecce,2025,J1,J1,12,4,68,1.7895,Null,8348,2792,2166,,,,,,,,,,,,,,,,,,,,,,,,,413,,,,,,,,,,,486116,19,70562,3,0,0,46266,5,602944,27
福岡,アビスパ福岡,avispa,2025,J1,J1,12,12,48,1.2632,Null,3740,1543,647,,,,,,,3388,,,,,,,,,,352,,,346,,,,,154,,,,,,,,,,76,190598,19,3670,1,0,0,0,0,194268,20
仙台,ベガルタ仙台,vegalta,2025,J2,J1,12,7,62,1.6316,Null,2465,1387,478,,,,,,,2601,,,,,,,,,366,-137,5,9,-140,4,11,-148,1,-148,570,840,1410,641,533,1175,780,327,-872,235,261444,19,0,0,0,0,0,0,261444,19
秋田,ブラウブリッツ秋田,blaublitz,2025,J2,J1,12,14,43,1.1316,Null,1246,660,70,69,108,73,79,,188,1265,345,142,84,,59,142,,,,-18,26,2,5,0,0,5,-6,11,243,103,347,221,101,323,57,52,-85,23,94112,19,1519,1,0,0,0,0,95631,20
山形,モンテディオ山形,montedio,2025,J2,J1,12,10,53,1.3947,Null,3154,1222,373,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,210289,19,3701,1,0,0,0,0,213990,20
いわき,いわきFC,iwakifc,2025,J2,J1,12,9,56,1.4737,Null,1500,564,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83063,19,0,0,0,0,0,0,83063,19
水戸,水戸ホーリーホック,mitohollyhock,2025,J2,J1,12,1,70,1.8421,昇格,1642,793,170,155,106,238,32,0,148,1639,505,147,153,116,66,117,0,190,344,3,4,3,4,13,5,,,12,508,203,711,342,183,525,100,136,-50,185,114113,19,5329,2,0,0,0,0,119442,21
大宮,RB大宮アルディージャ,ardija,2025,J2,J1,12,6,63,1.6579,Null,4597,2801,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,19,12851,2,0,0,0,0,227851,21
千葉,ジェフユナイテッド千葉,jefunited,2025,J2,J1,12,3,69,1.8158,昇格,3927,2081,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295431,19,0,0,34708,2,0,0,330139,21
甲府,ヴァンフォーレ甲府,ventforet,2025,J2,J1,12,13,44,1.1579,Null,1707,832,290,,,,,,,,,,,,,,,,,,,,-47,,,,,-69,,,,,,,,,,,159401,19,8434,2,0,0,0,0,167835,21
富山,カターレ富山,kataller,2025,J2,J1,12,17,37,0.9737,Null,1396,773,160,147,125,,100,,,1344,,187,120,131,,67,0,,221,52,,,,,,,,,,,,,,,,,,,107069,19,10766,3,0,0,0,0,117835,22
磐田,ジュビロ磐田,jubilo,2025,J2,J1,12,5,64,1.6842,Null,5668,3437,597,,,,,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,234190,19,28370,3,0,0,0,0,262560,22
藤枝,藤枝MYFC,myfc,2025,J2,J1,12,15,39,1.0263,Null,1118,617,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95560,19,0,0,0,0,0,0,95560,19
山口,レノファ山口FC,renofa,2025,J2,J1,12,19,36,0.9474,降格,1385,670,202,132,117,56,53,15,140,1402,471,150,125,79,46,139,35,-8,366,-17,19,0,1,0,0,1,0,1,387,84,470,223,6,229,100,92,49,241,109574,19,8034,2,0,0,0,0,117608,21
徳島,徳島ヴォルティス,vortis,2025,J2,J1,12,4,65,1.7105,Null,2188,1335,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137072,19,0,0,11387,1,0,0,148459,20
愛媛,愛媛FC,ehimefc,2025,J2,J1,12,20,22,0.5789,降格,1267,583,80,,,,,,,,,,,,,,,,,,,,13,,,,,11,,,,,,,,,,,89869,19,1701,1,0,0,0,0,91570,20
今治,FC今治,fcimabari,2025,J2,J1,12,11,53,1.3947,Null,2004,1200,141,,,,,,,1915,,,,,,,,,,89,,,118,,,,,116,,,,,,,,,,,91206,19,6585,2,0,0,0,0,97791,21
鳥栖,サガン鳥栖,sagan,2025,J2,J1,12,8,58,1.5263,Null,2729,1023,520,195,108,,,,,2598,,,,,,,,,392,132,,,152,,,,,134,,,,,,,,,,163,178260,19,0,0,0,0,0,0,178260,19
長崎,V・ファーレン長崎,vvaren,2025,J2,J1,12,2,70,1.8421,昇格,3331,1455,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301665,19,5848,1,0,0,0,0,307513,20
熊本,ロアッソ熊本,roasso,2025,J2,J1,12,18,37,0.9737,降格,1252,497,176,114,102,,0,,,1064,,,128,,,81,,,399,188,2,1,190,,,,,122,,,741,,,321,,,,420,127584,19,0,0,0,0,0,0,127584,19
大分,大分トリニータ,trinita,2025,J2,J1,12,16,38,1.0000,Null,1769,736,346,,,,,,,1780,,,,,,,,,,-10,,,-6,,,-6,1,-8,,,,,,,134,134,-69,199,197649,19,3164,1,0,0,0,0,200813,20
八戸,ヴァンラーレ八戸,vanraure,2025,J3,J2,12,2,72,1.8947,昇格,575,300,30,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,45114,19,3124,1,0,0,0,0,48238,20
福島,福島ユナイテッドFC,fufc,2025,J3,J2,12,10,56,1.4737,Null,600,394,27,,,,,,,,,,,,,,,,,,,,,,,,,-199,,,,,,,,,,,45113,19,2753,2,0,0,0,0,47866,21
栃木SC,栃木SC,tochigisc,2025,J3,J1,12,7,58,1.5263,Null,1046,576,130,,,,,,,1135,,,,,,,,,,-89,,,-89,,,,,-66,,,,,,,,,,,102481,19,3742,2,0,0,0,0,106223,21
栃木C,栃木シティ,tochigicity,2025,J3,J2,12,1,77,2.0263,昇格,564,395,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57677,19,4532,1,0,0,0,0,62209,20
群馬,ザスパ群馬,thespa,2025,J3,J1,12,14,46,1.2105,Null,779,395,75,,,,,,,1096,,,,,,,,,,-316,,,-302,,,,,-307,,,235,,,,,,,16,67539,19,1440,1,0,0,0,0,68979,20
相模原,SC相模原,scsagamihara,2025,J3,J2,12,12,50,1.3158,Null,1531,1279,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53397,19,3993,1,0,0,0,0,57390,20
松本,松本山雅FC,yamaga,2025,J3,J1,12,15,43,1.1316,Null,1506,772,279,,,,,,,1487,,,,,,,,,429,19,26,2,43,14,45,12,2,9,420,254,675,145,167,312,213,0,151,363,143881,19,8541,2,0,0,0,0,152422,21
長野,AC長野パルセイロ,parceiro,2025,J3,J2,12,19,35,0.9211,Null,850,326,83,,,,,,,902,,,,,,,,,322,-52,,,-54,,,,,-54,,,,,,,,,,,83079,19,5976,1,0,0,0,0,89055,20
金沢,ツエーゲン金沢,zweigen,2025,J3,J1,12,6,59,1.5526,Null,1240,565,163,120,27,32,,,,1232,389,154,108,74,8,113,0,88,298,8,,,3,,,3,,0,,,,,,,,,,,105717,19,3318,1,0,0,0,0,109035,20
沼津,アスルクラロ沼津,azulclaro,2025,J3,J2,12,20,28,0.7368,降格,617,350,71,73,27,,34,,,598,,,,,,,,,171,19,11,1,29,0,19,10,0,9,,,,,,,,,,,64931,19,4406,1,8255,1,0,0,77592,21
岐阜,FC岐阜,fcgifu,2025,J3,J1,12,13,47,1.2368,Null,997,493,111,,,,,,,1063,,,,,,,,,161,-65,,,-64,,,,,-65,275,5,281,141,75,216,50,688,-673,64,90686,19,2846,1,0,0,0,0,93532,20
FC大阪,FC大阪,fcosaka,2025,J3,J2,12,3,71,1.8684,Null,674,494,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51263,19,3941,1,3614,2,0,0,58818,22
奈良,奈良クラブ,naraclub,2025,J3,J2,12,9,56,1.4737,Null,507,243,48,,,20,81,,,507,,,,,11,,,,,0,,,5,,,,,4,,,,,,,,,,10,42540,19,3706,1,0,0,0,0,46246,20
宮崎,テゲバジャーロ宮崎,tegevajaro,2025,J3,J2,12,4,67,1.7632,昇格,761,541,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45852,19,2466,1,4389,1,0,0,52707,21
鹿児島,鹿児島ユナイテッドFC,kufc,2025,J3,J1,12,5,66,1.7368,Null,1109,523,150,166,32,,32,0,,1103,,172,116,114,,28,0,,350,5,2,6,2,0,1,0,2,-1,224,810,1034,253,589,843,128,128,-66,190,130354,19,3479,1,0,0,0,0,133833,20
琉球,FC琉球,fcryukyu,2025,J3,J1,12,16,40,1.0526,Null,750,317,37,66,,,133,,,,,,,,,,,,,,,,-275,,,,,,,,,,,,,,,,51848,19,3686,1,0,0,0,0,55534,20